,open,high,low,close,adjclose,volume,ticker
2016-09-29,330.0,333.8999938964844,295.1499938964844,297.54998779296875,288.5638122558594,89058658.0,ICICIPRULI.NS
2016-09-30,297.3999938964844,312.3999938964844,293.04998779296875,310.25,300.8802795410156,12045593.0,ICICIPRULI.NS
2016-10-03,312.8999938964844,313.75,307.29998779296875,309.70001220703125,300.34686279296875,3169557.0,ICICIPRULI.NS
2016-10-04,308.95001220703125,309.54998779296875,303.5,304.25,295.0614929199219,3173993.0,ICICIPRULI.NS
2016-10-05,305.0,315.0,304.1000061035156,313.75,304.2745361328125,5485589.0,ICICIPRULI.NS
2016-10-06,314.8500061035156,322.79998779296875,314.0,316.54998779296875,306.9900207519531,5753209.0,ICICIPRULI.NS
2016-10-07,318.0,319.70001220703125,315.45001220703125,317.25,307.66888427734375,1009789.0,ICICIPRULI.NS
2016-10-10,319.1000061035156,326.95001220703125,318.1000061035156,324.6000061035156,314.796875,3482805.0,ICICIPRULI.NS
2016-10-13,322.0,328.70001220703125,315.75,317.54998779296875,307.95977783203125,3088238.0,ICICIPRULI.NS
2016-10-14,319.70001220703125,328.75,319.1499938964844,327.3500061035156,317.4638671875,2771778.0,ICICIPRULI.NS
2016-10-17,328.0,331.70001220703125,324.20001220703125,327.6000061035156,317.7063293457031,2153353.0,ICICIPRULI.NS
2016-10-18,329.20001220703125,333.0,328.45001220703125,330.8999938964844,320.9066162109375,2774228.0,ICICIPRULI.NS
2016-10-19,331.6000061035156,332.45001220703125,324.0,324.8999938964844,315.08782958984375,1227049.0,ICICIPRULI.NS
2016-10-20,325.8999938964844,329.3999938964844,322.54998779296875,324.0,314.21502685546875,946203.0,ICICIPRULI.NS
2016-10-21,324.8500061035156,329.3999938964844,323.04998779296875,326.8500061035156,316.9789733886719,1122150.0,ICICIPRULI.NS
2016-10-24,327.8500061035156,329.8500061035156,323.1000061035156,323.8999938964844,314.1180419921875,684940.0,ICICIPRULI.NS
2016-10-25,324.3999938964844,328.0,323.1499938964844,324.1499938964844,314.3604736328125,964425.0,ICICIPRULI.NS
2016-10-26,323.95001220703125,325.3999938964844,319.29998779296875,320.3999938964844,310.7237548828125,940792.0,ICICIPRULI.NS
2016-10-27,320.04998779296875,320.04998779296875,312.29998779296875,314.1000061035156,304.61395263671875,1243528.0,ICICIPRULI.NS
2016-10-28,313.0,314.3500061035156,307.0,308.6000061035156,299.28009033203125,1188812.0,ICICIPRULI.NS
2016-11-01,312.8999938964844,315.45001220703125,310.04998779296875,311.29998779296875,301.8985595703125,1028849.0,ICICIPRULI.NS
2016-11-02,310.0,310.6000061035156,305.04998779296875,305.75,297.1365966796875,881783.0,ICICIPRULI.NS
2016-11-03,305.04998779296875,307.79998779296875,301.6000061035156,304.04998779296875,295.4845275878906,1243070.0,ICICIPRULI.NS
2016-11-04,304.95001220703125,305.95001220703125,302.5,303.3999938964844,294.8527526855469,1157870.0,ICICIPRULI.NS
2016-11-07,305.79998779296875,307.8999938964844,302.6499938964844,304.8999938964844,296.3105163574219,1228091.0,ICICIPRULI.NS
2016-11-08,306.0,306.95001220703125,302.70001220703125,303.5,294.95001220703125,412371.0,ICICIPRULI.NS
2016-11-09,290.0,300.75,271.0,298.04998779296875,289.6535339355469,2590826.0,ICICIPRULI.NS
2016-11-10,302.95001220703125,314.8999938964844,301.0,313.70001220703125,304.8627014160156,2123137.0,ICICIPRULI.NS
2016-11-11,309.70001220703125,309.70001220703125,302.54998779296875,304.8500061035156,296.261962890625,1313176.0,ICICIPRULI.NS
2016-11-15,304.8500061035156,305.0,295.0,297.20001220703125,288.8274841308594,1591246.0,ICICIPRULI.NS
2016-11-16,303.0,304.25,298.0,299.29998779296875,290.8682861328125,1270188.0,ICICIPRULI.NS
2016-11-17,300.0,302.5,293.0,293.5,285.2317199707031,1051062.0,ICICIPRULI.NS
2016-11-18,294.75,295.6000061035156,284.5,285.45001220703125,277.40850830078125,899512.0,ICICIPRULI.NS
2016-11-21,288.0,288.0,282.20001220703125,284.1499938964844,276.14508056640625,1285263.0,ICICIPRULI.NS
2016-11-22,285.3999938964844,290.8999938964844,281.20001220703125,289.04998779296875,280.9070739746094,1209797.0,ICICIPRULI.NS
2016-11-23,290.0,297.0,288.29998779296875,294.8999938964844,286.5922546386719,504169.0,ICICIPRULI.NS
2016-11-24,295.1000061035156,296.0,291.29998779296875,295.04998779296875,286.73797607421875,378291.0,ICICIPRULI.NS
2016-11-25,296.0,307.8999938964844,295.5,303.54998779296875,294.99853515625,827475.0,ICICIPRULI.NS
2016-11-28,303.8999938964844,309.0,303.1000061035156,308.29998779296875,299.61480712890625,545827.0,ICICIPRULI.NS
2016-11-29,308.8999938964844,314.8999938964844,308.20001220703125,314.1000061035156,305.2513427734375,923896.0,ICICIPRULI.NS
2016-11-30,314.95001220703125,314.95001220703125,308.25,309.75,301.0239562988281,527033.0,ICICIPRULI.NS
2016-12-01,309.1000061035156,310.0,303.3500061035156,304.04998779296875,295.4845275878906,398945.0,ICICIPRULI.NS
2016-12-02,303.1000061035156,303.1499938964844,298.04998779296875,298.6499938964844,290.23663330078125,530891.0,ICICIPRULI.NS
2016-12-05,298.0,298.54998779296875,292.6000061035156,293.5,285.2317199707031,2962323.0,ICICIPRULI.NS
2016-12-06,293.5,296.8999938964844,292.25,293.5,285.2317199707031,286857.0,ICICIPRULI.NS
2016-12-07,294.5,295.5,292.0,292.6499938964844,284.4056396484375,287566.0,ICICIPRULI.NS
2016-12-08,293.75,298.45001220703125,293.54998779296875,297.04998779296875,288.68170166015625,384455.0,ICICIPRULI.NS
2016-12-09,297.70001220703125,299.54998779296875,293.54998779296875,294.95001220703125,286.6408996582031,490921.0,ICICIPRULI.NS
2016-12-12,295.0,300.29998779296875,294.5,298.8999938964844,290.4796142578125,1858187.0,ICICIPRULI.NS
2016-12-13,298.79998779296875,298.8999938964844,295.45001220703125,298.1499938964844,289.7506408691406,448043.0,ICICIPRULI.NS
2016-12-14,296.70001220703125,302.29998779296875,296.0,297.20001220703125,288.8274841308594,828122.0,ICICIPRULI.NS
2016-12-15,296.0,311.8999938964844,295.0,310.6499938964844,301.8985900878906,2601377.0,ICICIPRULI.NS
2016-12-16,309.95001220703125,312.0,305.70001220703125,310.54998779296875,301.8013610839844,1466142.0,ICICIPRULI.NS
2016-12-19,310.0,317.95001220703125,308.0,315.5,306.6119384765625,3045917.0,ICICIPRULI.NS
2016-12-20,313.79998779296875,319.8999938964844,312.5,318.25,309.284423828125,1832659.0,ICICIPRULI.NS
2016-12-21,318.70001220703125,319.95001220703125,314.0,316.20001220703125,307.292236328125,717254.0,ICICIPRULI.NS
2016-12-22,317.0,317.0,305.1000061035156,307.1499938964844,298.49713134765625,467785.0,ICICIPRULI.NS
2016-12-23,304.1000061035156,306.95001220703125,300.0,300.6499938964844,292.18023681640625,461339.0,ICICIPRULI.NS
2016-12-26,299.0,300.5,294.54998779296875,295.04998779296875,286.73797607421875,483325.0,ICICIPRULI.NS
2016-12-27,294.1499938964844,297.5,294.1000061035156,295.45001220703125,287.126708984375,403888.0,ICICIPRULI.NS
2016-12-28,299.75,299.75,294.54998779296875,295.1000061035156,286.7865905761719,490137.0,ICICIPRULI.NS
2016-12-29,295.29998779296875,301.70001220703125,295.29998779296875,300.1000061035156,291.6457824707031,463260.0,ICICIPRULI.NS
2016-12-30,300.95001220703125,306.0,300.1000061035156,302.25,293.7351989746094,515022.0,ICICIPRULI.NS
2017-01-02,301.20001220703125,307.8999938964844,301.20001220703125,307.1000061035156,298.4486083984375,336913.0,ICICIPRULI.NS
2017-01-03,308.6000061035156,313.75,308.0,313.04998779296875,304.23095703125,675149.0,ICICIPRULI.NS
2017-01-04,314.6499938964844,321.0,313.5,319.70001220703125,310.693603515625,1583760.0,ICICIPRULI.NS
2017-01-05,320.95001220703125,328.70001220703125,320.29998779296875,326.75,317.544921875,1993192.0,ICICIPRULI.NS
2017-01-06,327.95001220703125,338.0,326.6499938964844,331.0,321.67529296875,4655888.0,ICICIPRULI.NS
2017-01-09,331.0,333.25,326.1000061035156,329.04998779296875,319.78021240234375,787856.0,ICICIPRULI.NS
2017-01-10,330.0,336.5,329.3999938964844,335.54998779296875,326.0970764160156,1660190.0,ICICIPRULI.NS
2017-01-11,337.0,338.70001220703125,334.25,337.79998779296875,328.28369140625,1609150.0,ICICIPRULI.NS
2017-01-12,337.79998779296875,338.25,330.6499938964844,334.54998779296875,325.125244140625,537489.0,ICICIPRULI.NS
2017-01-13,334.6000061035156,336.3999938964844,330.95001220703125,331.8999938964844,322.5498962402344,360639.0,ICICIPRULI.NS
2017-01-16,330.1000061035156,334.0,330.0,331.1499938964844,321.82110595703125,495389.0,ICICIPRULI.NS
2017-01-17,332.0,335.6499938964844,330.1000061035156,331.70001220703125,322.35552978515625,548693.0,ICICIPRULI.NS
2017-01-18,334.8500061035156,343.0,332.70001220703125,340.0,330.4217224121094,3153477.0,ICICIPRULI.NS
2017-01-19,340.79998779296875,351.5,339.25,349.75,339.8970031738281,5040128.0,ICICIPRULI.NS
2017-01-20,347.70001220703125,362.0,346.6000061035156,359.3999938964844,349.2752380371094,5356347.0,ICICIPRULI.NS
2017-01-23,360.0,362.3500061035156,356.20001220703125,361.1499938964844,350.9759216308594,2539069.0,ICICIPRULI.NS
2017-01-24,360.0,363.5,356.1499938964844,359.75,349.6153259277344,2132140.0,ICICIPRULI.NS
2017-01-25,357.54998779296875,359.3500061035156,351.54998779296875,353.8500061035156,343.8815612792969,1595576.0,ICICIPRULI.NS
2017-01-27,354.0,356.3500061035156,352.5,353.8999938964844,343.93011474609375,1172267.0,ICICIPRULI.NS
