iter	Passed	Remaining
0	1	138
1	4	208
2	5	177
3	7	176
4	8	168
5	11	172
6	12	170
7	14	162
8	16	167
9	18	163
10	19	160
11	21	154
12	22	152
13	24	149
14	27	154
15	28	151
16	30	146
17	31	142
18	32	137
19	33	134
20	35	132
21	36	129
22	38	129
23	40	127
24	42	126
25	43	122
26	44	121
27	46	118
28	47	116
29	49	115
30	50	113
31	52	112
32	54	109
33	55	108
34	57	106
35	59	105
36	61	104
37	62	102
38	63	99
39	65	98
40	67	97
41	69	95
42	70	93
43	73	93
44	74	91
45	76	90
46	78	88
47	80	86
48	81	84
49	83	83
50	84	81
51	86	79
52	87	77
53	89	76
54	91	74
55	92	72
56	94	71
57	97	70
58	98	68
59	100	66
60	101	64
61	103	63
62	105	61
63	106	59
64	108	58
65	109	56
66	111	55
67	113	53
68	114	51
69	116	49
70	117	48
71	119	46
72	120	44
73	123	43
74	125	41
75	127	40
76	128	38
77	129	36
78	131	34
79	132	33
80	134	31
81	135	29
82	136	28
83	138	26
84	142	25
85	143	23
86	145	21
87	147	20
88	148	18
89	151	16
90	152	15
91	153	13
92	154	11
93	155	9
94	156	8
95	157	6
96	159	4
97	161	3
98	163	1
99	164	0
