iter	RMSE
0	72258.02015
1	67611.63006
2	63783.65842
3	60200.06204
4	57240.56135
5	54580.07098
6	52035.77786
7	49796.5876
8	47635.03344
9	45980.25262
10	44238.47594
11	42923.45494
12	41488.62306
13	40204.79421
14	39223.17318
15	38146.25901
16	37203.6571
17	36295.71226
18	35336.12273
19	34535.50815
20	33771.23409
21	33208.09104
22	32601.36232
23	31987.3006
24	31385.7496
25	30838.92278
26	30438.12207
27	30056.4056
28	29712.92771
29	29159.59097
30	28770.68809
31	28448.91886
32	28134.81625
33	27915.93041
34	27655.1343
35	27456.58061
36	27285.37542
37	27109.8174
38	26880.36678
39	26644.26147
40	26478.60805
41	26265.56778
42	26072.36251
43	25926.62612
44	25793.49466
45	25665.04256
46	25449.0721
47	25244.35302
48	25087.84025
49	24971.03223
50	24810.99515
51	24667.62286
52	24545.14115
53	24351.36876
54	24188.79842
55	24045.15654
56	23999.87385
57	23869.11901
58	23789.07625
59	23696.22223
60	23572.67158
61	23471.31711
62	23379.03907
63	23281.52252
64	23151.87124
65	23083.79873
66	23017.7925
67	22899.41133
68	22791.63609
69	22701.05361
70	22597.17072
71	22517.21023
72	22419.12785
73	22374.26225
74	22256.56715
75	22209.48094
76	22141.05367
77	22123.26843
78	22098.95124
79	22033.44715
80	21904.0762
81	21793.87469
82	21662.40484
83	21581.17946
84	21496.1544
85	21412.9124
86	21340.73341
87	21280.31974
88	21239.37454
89	21151.57718
90	21092.89653
91	20998.80414
92	20944.00646
93	20902.88924
94	20828.34831
95	20803.85743
96	20717.19759
97	20695.13958
98	20615.26208
99	20601.92886
100	20554.20841
101	20451.34955
102	20387.24353
103	20355.04025
104	20296.40661
105	20220.86221
106	20164.117
107	20078.66761
108	20028.28546
109	19963.86886
110	19912.28194
111	19813.7048
112	19722.04156
113	19660.55958
114	19606.10254
115	19571.95203
116	19473.33451
117	19454.93982
118	19384.45974
119	19325.42862
120	19267.70702
121	19184.51307
122	19119.87202
123	19049.34311
124	18953.29279
125	18940.5529
126	18839.91585
127	18742.55886
128	18703.69749
129	18609.15448
130	18539.4129
131	18488.94736
132	18439.95286
133	18380.01216
134	18307.89855
135	18236.05245
136	18178.02068
137	18131.89525
138	18080.27418
139	18006.68858
140	17995.98388
141	17984.66119
142	17967.56893
143	17884.80993
144	17870.40611
145	17811.29003
146	17754.50796
147	17703.51965
148	17642.82354
149	17630.85312
150	17580.17524
151	17567.53621
152	17537.62125
153	17524.91566
154	17467.09108
155	17430.57708
156	17384.57081
157	17373.56936
158	17319.47037
159	17299.18118
160	17265.12797
161	17238.60602
162	17194.47833
163	17170.95921
164	17122.16646
165	17039.43333
166	16980.66893
167	16940.87247
168	16917.34525
169	16859.72664
170	16786.9572
171	16712.16299
172	16678.34279
173	16643.28155
174	16595.68018
175	16552.7849
176	16507.60232
177	16460.33674
178	16432.48797
179	16413.31873
180	16371.72224
181	16317.46009
182	16307.82969
183	16265.21754
184	16257.33822
185	16251.23338
186	16222.97573
187	16131.9968
188	16114.21099
189	16052.93518
190	16017.89984
191	15975.0249
192	15916.12478
193	15845.13339
194	15817.2901
195	15747.62764
196	15686.40915
197	15649.83794
198	15613.75259
199	15578.27815
