iter	Passed	Remaining
0	48	9733
1	49	4940
2	50	3340
3	52	2554
4	53	2088
5	55	1778
6	56	1544
7	56	1367
8	57	1229
9	58	1119
10	59	1029
11	60	953
12	62	892
13	62	836
14	63	788
15	64	747
16	66	712
17	67	679
18	68	649
19	69	622
20	70	597
21	70	574
22	71	553
23	72	534
24	73	516
25	74	500
26	76	488
27	77	474
28	78	462
29	79	451
30	80	439
31	81	428
32	82	418
33	83	408
34	84	398
35	85	389
36	86	381
37	88	376
38	89	369
39	90	363
40	91	355
41	92	348
42	93	342
43	94	335
44	95	329
45	96	323
46	97	318
47	99	313
48	100	308
49	101	303
50	102	298
51	103	293
52	104	288
53	105	284
54	106	279
55	107	275
56	107	270
57	108	266
58	109	262
59	110	258
60	111	255
61	113	251
62	114	250
63	116	246
64	117	243
65	118	239
66	119	236
67	120	233
68	122	232
69	126	234
70	129	236
71	133	237
72	134	234
73	135	231
74	136	228
75	137	224
76	138	221
77	139	218
78	140	215
79	141	212
80	142	209
81	143	206
82	144	203
83	145	200
84	146	198
85	147	195
86	148	192
87	149	189
88	150	187
89	151	185
90	152	182
91	153	180
92	154	177
93	155	175
94	156	173
95	157	170
96	158	168
97	159	165
98	160	163
99	161	161
100	162	159
101	163	156
102	164	154
103	165	152
104	166	150
105	167	148
106	167	145
107	168	143
108	169	141
109	170	139
110	171	137
111	172	135
112	173	133
113	174	131
114	175	129
115	176	127
116	177	125
117	178	123
118	179	122
119	180	120
120	181	118
121	182	116
122	182	114
123	183	112
124	184	110
125	185	109
126	186	107
127	187	105
128	188	103
129	189	102
130	190	100
131	191	98
132	192	97
133	193	95
134	194	93
135	195	91
136	196	90
137	197	88
138	198	87
139	199	85
140	200	83
141	201	82
142	201	80
143	202	78
144	203	77
145	204	75
146	205	74
147	206	72
148	207	70
149	208	69
150	209	67
151	210	66
152	211	64
153	211	63
154	212	61
155	213	60
156	214	58
157	215	57
158	216	55
159	217	54
160	218	52
161	219	51
162	220	50
163	221	48
164	222	47
165	223	45
166	224	44
167	225	42
168	225	41
169	226	40
170	227	38
171	228	37
172	229	35
173	230	34
174	231	33
175	232	31
176	233	30
177	234	28
178	235	27
179	236	26
180	237	24
181	238	23
182	238	22
183	239	20
184	244	19
185	245	18
186	247	17
187	250	16
188	262	15
189	264	13
190	267	12
191	267	11
192	268	9
193	269	8
194	270	6
195	271	5
196	272	4
197	273	2
198	274	1
199	275	0
